wordText,lyricsRank,newYorkTimesRank,rank,googleBooksRank,happs,stdDev,twitterRank
jury,-1,1455,8904,4048,4.28,1.3407,-1
nor,2402,1588,8905,386,4.28,1.1959,3367
petroleum,-1,3646,8906,-1,4.28,1.6293,-1
pimpin,3313,-1,8907,-1,4.28,2.1575,-1
rules,1019,962,8908,927,4.28,1.2296,1727
spider,4891,-1,8909,-1,4.28,2.0004,3667
swore,2904,-1,8910,-1,4.28,1.5784,-1
taken,920,595,8911,265,4.28,1.4714,1184
tests,-1,2057,8912,1549,4.28,1.6787,3634
wasn't,-1,-1,8913,-1,4.28,1.1436,-1
moan,3394,-1,8914,-1,4.27,2.2288,-1
warn,3736,-1,8915,-1,4.27,1.7173,-1
@justinbieber,-1,-1,8916,-1,4.26,1.7001,-1
blows,1483,-1,8917,-1,4.26,1.7591,4427
defendants,-1,3426,8918,-1,4.26,1.482,-1
fck,-1,-1,8919,-1,4.26,1.7821,4635
fires,2955,-1,8920,-1,4.26,1.7357,-1
intervention,-1,-1,8921,2697,4.26,1.482,-1
lawyers,-1,960,8922,-1,4.26,1.8715,-1
non,662,-1,8923,503,4.26,1.2747,2577
outlaw,3906,-1,8924,-1,4.26,1.7001,-1
owing,-1,-1,8925,3176,4.26,1.9463,-1
sht,-1,-1,8926,-1,4.26,1.2257,4783
split,1722,1581,8927,3717,4.26,1.4957,4088
storm,916,2897,8928,3330,4.26,2.0082,886
concerning,-1,-1,8929,1322,4.24,1.6898,-1
contrary,-1,-1,8930,1751,4.24,1.5211,-1
4am,-1,-1,8931,-1,4.24,1.546,-1
bah,3410,-1,8932,-1,4.24,1.1877,4361
barely,1932,2166,8933,-1,4.24,1.5722,2694
but,22,27,8934,27,4.24,1.1528,26
courts,-1,2040,8935,1819,4.24,1.4647,-1
kanye,-1,-1,8936,-1,4.24,1.685,1877
lower,3872,792,8937,513,4.24,1.0797,2668
minority,-1,2216,8938,3126,4.24,1.546,-1
orders,-1,1803,8939,1499,4.24,1.4786,3402
pounding,3651,-1,8940,-1,4.24,2.026,-1
protests,-1,4027,8941,-1,4.24,1.6358,-1
psychiatric,-1,-1,8942,-1,4.24,1.3334,-1
questioned,-1,3830,8943,-1,4.24,1.2707,-1
raw,1638,-1,8944,3125,4.24,1.2867,2567
rebels,-1,3368,8945,-1,4.24,1.5059,-1
sag,4476,-1,8946,-1,4.24,1.318,-1
shoulda,2150,-1,8947,-1,4.24,1.1704,4788
smash,2496,-1,8948,-1,4.24,1.5722,4924
spy,4529,-1,8949,-1,4.24,1.7677,-1
stern,-1,2629,8950,-1,4.24,1.3637,-1
stray,3349,-1,8951,-1,4.24,1.8245,-1
swear,813,-1,8952,-1,4.24,1.6233,1231
unless,1684,1805,8953,1035,4.24,1.0012,1418
worn,2728,-1,8954,3859,4.23,1.0962,-1
dues,3238,-1,8955,-1,4.22,1.3581,-1
freaks,2660,-1,8956,-1,4.22,2.0028,-1
#iranelection,-1,-1,8957,-1,4.22,1.3746,-1
away,73,354,8958,272,4.22,1.2664,292
backwards,2930,-1,8959,-1,4.22,1.3746,-1
beware,2466,-1,8960,-1,4.22,1.6695,-1
blast,1389,-1,8961,-1,4.22,2.1217,1896
breakin,3475,-1,8962,-1,4.22,1.4748,-1
bush's,-1,-1,8963,-1,4.22,1.5158,-1
calories,-1,-1,8964,-1,4.22,1.6817,4937
cold,278,1764,8965,984,4.22,1.7761,213
concerned,3706,1556,8966,959,4.22,1.6573,4280
due,2390,1213,8967,449,4.22,1.5022,919
grind,1640,-1,8968,-1,4.22,1.3746,3506
iranian,-1,4228,8969,-1,4.22,1.148,-1
labor,-1,957,8970,725,4.22,1.6199,4682
limit,1822,2288,8971,1932,4.22,1.3138,3039
limited,-1,1610,8972,844,4.22,1.1657,2346
loan,-1,1602,8973,3466,4.22,1.4039,3069
mutha,3168,-1,8974,-1,4.22,1.5292,-1
python,-1,-1,8975,-1,4.22,1.799,3897
republicans,-1,1037,8976,-1,4.22,1.9722,4868
scratch,2254,-1,8977,-1,4.22,1.3746,3937
veto,-1,4266,8978,-1,4.22,1.4039,-1
waitin,2822,-1,8979,-1,4.22,1.3445,3775
wtf,-1,-1,8980,-1,4.22,1.7761,606
waar,2561,-1,8981,-1,4.21,1.2876,-1
beat,377,1125,8982,3420,4.2,1.9795,690
blah,3506,-1,8983,-1,4.2,1.6288,2038
darn,-1,-1,8984,-1,4.2,1.5119,2922
default,-1,-1,8985,-1,4.2,1.4708,4581
dnt,-1,-1,8986,-1,4.2,1.3401,880
expenditure,-1,-1,8987,3444,4.2,1.5908,-1
exposed,-1,4836,8988,2365,4.2,1.4428,-1
grrr,-1,-1,8989,-1,4.2,1.4708,3963
legislators,-1,3606,8990,-1,4.2,1.8844,-1
levy,-1,3175,8991,-1,4.2,1.3851,-1
lone,4809,-1,8992,-1,4.2,1.5649,-1
mccain,-1,-1,8993,-1,4.2,1.7843,2001
periods,-1,1848,8994,2092,4.2,1.6537,-1
politically,-1,3739,8995,-1,4.2,1.3702,-1
pow,-1,-1,8996,-1,4.2,1.3553,-1
prosecutors,-1,1698,8997,-1,4.2,1.5908,-1
screw,3224,-1,8998,-1,4.2,1.8516,2967
uh,301,-1,8999,-1,4.2,1.3851,1798
verdict,-1,4631,9000,-1,4.2,1.6537,-1
weird,3597,-1,9001,-1,4.2,1.3553,684
whips,4299,-1,9002,-1,4.2,1.906,-1
underlying,-1,-1,9003,3055,4.19,1.3128,-1
objection,-1,-1,9004,4490,4.18,1.4673,-1
